Time (s),Pressure (mmHg)
0,73.74476452
0.005,74.41263059
0.01,75.04401545
0.015,75.59621209
0.02,76.04474538
0.025,76.38436822
0.03,76.61783659
0.035,76.76725194
0.04,76.86634473
0.045,76.95879152
0.05,77.13672912
0.055,77.51037622
0.06,78.09415075
0.065,78.77582693
0.07,79.41995171
0.075,79.98888224
0.08,80.53818101
0.085,81.10676599
0.09,81.68439036
0.095,82.26649319
0.1,82.87005909
0.105,83.50363706
0.11,84.14635125
0.115,84.77696624
0.12,85.42556058
0.125,86.1682999
0.13,87.07646391
0.135,88.16979589
0.14,89.38335379
0.145,90.58495276
0.15,91.67117638
0.155,92.65773755
0.16,93.65586635
0.165,94.77511461
0.17,96.06910708
0.175,97.53209439
0.18,99.10705131
0.185,100.7024183
0.19,102.2186536
0.195,103.616647
0.2,104.9725141
0.205,106.4005733
0.21,107.9375031
0.215,109.5458898
0.22,111.183775
0.225,112.8224207
0.23,114.4404775
0.235,116.0472185
0.24,117.6586065
0.245,119.2053081
0.25,120.4975764
0.255,121.2944194
0.26,121.4223589
0.265,120.8824154
0.27,119.8540877
0.275,118.586553
0.28,117.273759
0.285,115.9772896
0.29,114.6538332
0.295,113.2824779
0.3,111.9262765
0.305,110.6489735
0.31,109.4456475
0.315,108.2903865
0.32,107.1936012
0.325,106.183429
0.33,105.2676567
0.335,104.4328155
0.34,103.6595361
0.345,102.9248471
0.35,102.2107011
0.355,101.5239655
0.36,100.8751112
0.365,100.2289438
0.37,99.51890524
0.375,98.72360085
0.38,97.89863184
0.385,97.12438815
0.39,96.45814266
0.395,95.9177247
0.4,95.45179806
0.405,94.97187365
0.41,94.44537175
0.415,93.90623812
0.42,93.418278
0.425,93.05051268
0.43,92.80175538
0.435,92.55514484
0.44,92.16232456
0.445,91.5658854
0.45,90.82649763
0.455,90.0449864
0.46,89.30141709
0.465,88.65768783
0.47,88.14772097
0.475,87.76682537
0.48,87.49828068
0.485,87.31843878
0.49,87.17166089
0.495,86.97973905
0.5,86.6757417
0.505,86.23657978
0.51,85.71927569
0.515,85.23203065
0.52,84.85041055
0.525,84.59507513
0.53,84.44502387
0.535,84.34145733
0.54,84.23208337
0.545,84.11062622
0.55,83.98838196
0.555,83.87062668
0.56,83.76652086
0.565,83.67556303
0.57,83.56967282
0.575,83.4043783
0.58,83.15318645
0.585,82.83488042
0.59,82.48977615
0.595,82.13744948
0.6,81.78279522
0.605,81.45629985
0.61,81.22196903
0.615,81.13118441
0.62,81.17021799
0.625,81.25354615
0.63,81.27600397
0.635,81.19684839
0.64,81.05814774
0.645,80.90607428
0.65,80.75226941
0.655,80.61310851
0.66,80.52345494
0.665,80.51169837
0.67,80.58083962
0.675,80.6978029
0.68,80.79043576
0.685,80.77804141
0.69,80.61872098
0.695,80.33067654
0.7,79.99073681
0.705,79.70187817
0.71,79.53795287
0.715,79.52295574
0.72,79.63240929
0.725,79.78688661
0.73,79.88898512
0.735,79.88887788
0.74,79.79794843
0.745,79.66677734
0.75,79.55420924
0.755,79.4995241
0.76,79.52202491
0.765,79.60252551
0.77,79.66197056
0.775,79.61156174
0.78,79.42530737
0.785,79.15730799
0.79,78.90361275
0.795,78.74437488
0.8,78.70670664
0.805,78.754924
0.81,78.81789967
0.815,78.85550734
0.82,78.87466444
0.825,78.87793772
0.83,78.85816538
0.835,78.82621511
0.84,78.79003865
0.845,78.72604494
0.85,78.6013874
0.855,78.42666493
0.86,78.25813196
0.865,78.13915924
0.87,78.08160505
0.875,78.09100428
0.88,78.17168177
0.885,78.33827326
0.89,78.6183344
0.895,79.01277549
0.9,79.47977561
0.905,79.95140378
0.91,80.36144272
0.915,80.7053666
0.92,81.06447152
0.925,81.53003396
0.93,82.11973754
0.935,82.77800004
0.94,83.42524017
0.945,84.02025347
0.95,84.60675908
0.955,85.27731351
0.96,86.07678024
0.965,86.96566463
0.97,87.88116819
0.975,88.78477838
0.98,89.64425411
0.985,90.43604626
0.99,91.18225428
0.995,91.93960539
1,92.75769908
1.005,93.6833139
1.01,94.75493844
1.015,95.95788516
1.02,97.23590283
1.025,98.54597845
1.03,99.87093029
1.035,101.2077628
1.04,102.5651795
1.045,103.9554383
1.05,105.3813823
1.055,106.821922
1.06,108.2432264
1.065,109.6562975
1.07,111.1405315
1.075,112.7769294
1.08,114.5655159
1.085,116.440692
1.09,118.3486511
1.095,120.2247829
1.1,121.9190655
1.105,123.2323386
1.11,123.9987439
1.115,124.1348005
1.12,123.6675771
1.125,122.6915915
1.13,121.309867
1.135,119.6461105
1.14,117.8518892
1.145,116.0769937
1.15,114.4536555
1.155,113.0824762
1.16,112.0069977
1.165,111.1876661
1.17,110.490889
1.175,109.7572538
1.18,108.9066036
